text,human_label,notes
"Traffic jam sa Session Road sobrang tagal!",negative,"Clear complaint about traffic"
"City Hall announces new parking policy",neutral,"Factual announcement, no emotion"
"Natapos na rin ang road construction sa Kennon",positive,"Relief/satisfaction expressed with 'rin'"
"Grabe ang dumi dito sa public market",negative,"Strong complaint (grabe = extreme)"
"Meeting tomorrow for business permits",neutral,"Informational only"
"Salamat sa mabilis na response ng BPLO!",positive,"Gratitude expressed"
"Wala na namang tubig for 3 days",negative,"Complaint about water shortage"
"PNP conducted patrol in barangays",neutral,"Factual report of police activity"
"Festival was amazing this year!",positive,"Explicit positive sentiment"
"Mayor should resign already",negative,"Political criticism"
"New pedestrian crossing installed",neutral,"Factual infrastructure update"
"Finally fixed the potholes sa Aurora Hill",positive,"Relief expressed with 'finally'"
"Another fire incident near public market",negative,"Negative event reporting"
"Health center offers free checkups",neutral,"Informational announcement"
"Best tourist spot in the Philippines!",positive,"Strong positive endorsement"
"Ang galing ng bagong traffic system /s",negative,"Sarcasm - actually negative despite 'galing'"
"Power outage again for the 5th time",negative,"Repeated complaint"
"School opening schedule announced",neutral,"Calendar information"
"Proud Baguio resident here!",positive,"Expression of pride"
"Why is the garbage collection so slow?",negative,"Complaint phrased as question"
"Bagong footbridge sa Magsaysay Avenue very helpful",positive,"Positive assessment"
"CDRRMO personnel conducted earthquake drill",neutral,"Factual event report"
"Ang tagal mag-approve ng business permit!",negative,"Frustration with bureaucracy"
"Beautiful sunrise view from Mines View Park",positive,"Positive experience"
"Bakit laging brownout sa area namin?",negative,"Complaint as question"
"New barangay captain elected",neutral,"News/factual"
"Masaya ang Panagbenga this year!",positive,"Expression of happiness"
"Grabe ang traffic caused by road widening project",negative,"Complaint despite construction benefit"
"City tourism office releases new guidelines",neutral,"Policy announcement"
"Finally may internet na rin sa barangay namin!",positive,"Relief and excitement"
"Nakakalungkot yung nangyari sa landslide victims",negative,"Expression of sadness"
"TESDA offers free skills training",neutral,"Informational"
"Ang ganda ng bagong Christmas lights sa Burnham!",positive,"Positive reaction"
"Walang aksyon yung barangay sa reklamo namin",negative,"Complaint about inaction"
"Weather advisory: expect rain tomorrow",neutral,"Factual weather info"
"Congrats sa mga bagong graduates ng UB!",positive,"Congratulatory"
"Ang mahal na ng bilihin sa palengke",negative,"Complaint about prices"
"DOH vaccine schedule posted",neutral,"Health information"
"Sobrang appreciate ko ang bagong park sa barangay",positive,"Appreciation expressed"
"Ilang araw na walang tubig sa zone 7",negative,"Water shortage complaint"
"City council meeting rescheduled",neutral,"Schedule update"
"Masarap ang strawberry taho sa Burnham!",positive,"Positive review"
"Nakakainis yung mga illegal parking",negative,"Annoyance expressed"
"Population census will be conducted next week",neutral,"Informational"
"Ang helpful ng traffic enforcer kanina",positive,"Praise for government worker"
"Ang init ngayon kahit sa Baguio pa",negative,"Complaint about weather change"
"DPWH project timeline released",neutral,"Project information"
"Love the cold weather here!",positive,"Positive sentiment"
"Ang daming potholes sa La Trinidad road",negative,"Infrastructure complaint"
"Senior citizen ID application requirements posted",neutral,"Requirements info"
"Ang galing ng fire department response!",positive,"Praise for emergency services"
"Maraming nawawalang aso sa area namin lately",negative,"Concern about pet safety"
"Baguio City zip code is 2600",neutral,"Factual information"
"Best coffee shops in the city!",positive,"Positive endorsement"
"Ang tagal ng construction sa Loakan Road",negative,"Impatience with project"
"LTO mobile services available next week",neutral,"Service announcement"
"Super thankful sa mga frontliners!",positive,"Gratitude expression"
"Bakit ang baho ng drainage sa kalye namin?",negative,"Sanitation complaint"
"New COVID testing site opened",neutral,"Health facility news"
"Ang peaceful ng Baguio early morning",positive,"Positive description"
"Ang daming illegal vendors sa sidewalk",negative,"Complaint about vendors"
"Voter registration deadline extended",neutral,"Election information"
"Proud to be Igorot!",positive,"Cultural pride"
"Wala pa ring signal sa area namin",negative,"Connectivity complaint"
"SM Baguio mall hours updated",neutral,"Business information"
"Sobrang saya ng Ibagiw Festival!",positive,"Event enjoyment"
"Ang tagal ng pila sa Comelec",negative,"Queue complaint"
"Road closure advisory for Sunday",neutral,"Traffic advisory"
"Ang refreshing ng climate ng Baguio",positive,"Positive climate comment"
"Napaka-slow ng internet connection dito",negative,"Service complaint"
"BFP fire prevention month activities announced",neutral,"Event announcement"
"Perfect weather for hiking today!",positive,"Positive weather comment"
"Grabe ang pollution sa bus terminal area",negative,"Environmental complaint"
"City ordinance on smoking areas released",neutral,"Policy information"
"Ang ganda ng sunset view sa Camp John Hay!",positive,"Scenic appreciation"
"Walang parking space kahit saan",negative,"Parking complaint"
"Museum visiting hours posted",neutral,"Facility information"
"Nakakatuwa ang bagong public library!",positive,"Appreciation for facility"
"Ang ingay ng construction sa gabi",negative,"Noise complaint"
"Barangay assembly scheduled Saturday",neutral,"Meeting announcement"
"Ang sarap ng strawberry jam from here!",positive,"Local product praise"
"Puro traffic na lang araw-araw",negative,"Daily frustration"
"Water interruption schedule released",neutral,"Utility notice"
"Masyadong cold ang Baguio ngayon I love it!",positive,"Weather appreciation"
"Napakabagal ng government services",negative,"Bureaucracy complaint"
"City mapping project ongoing",neutral,"Project status"
"Ang linis ng bagong public toilet!",positive,"Facility appreciation"
"May tagas na ang bubong ng health center",negative,"Facility deterioration"
"New jeepney routes announced",neutral,"Transport information"
"Best place to retire talaga ang Baguio!",positive,"Strong endorsement"
"Lagi na lang late ang garbage truck",negative,"Service complaint"
"Blood donation drive this Friday",neutral,"Health event"
"Ang accommodating ng staff sa City Hall today!",positive,"Service praise"
"Ang daming hold-up incidents lately",negative,"Safety concern"
"Library book donation drive announced",neutral,"Community event"
"Sulit ang mga tours dito sa Baguio!",positive,"Tourism praise"
"Ang pangit ng drainage system natin",negative,"Infrastructure criticism"
"Thankful for the free medical mission!",positive,"Healthcare appreciation"
"Bakit ang hirap mag-renew ng license dito?",negative,"Bureaucracy frustration"
"City budget allocation released",neutral,"Financial information"
